rank_test_score,mean_test_score,param_forest__n_estimators,param_forest__max_depth,mean_fit_time,mean_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.9797839695593471,100,100,611.4344060897827,4.429682731628418,0.9804310087850041,0.979186028161111,0.9792298655070227,0.9800364726717986,0.9800364726717986
2,0.9792614283960793,50,100,309.8267517566681,2.2659653186798097,0.9798523558189693,0.9795542618667695,0.9782566764277824,0.9793526100755756,0.9792912377912991
3,0.9778568798330675,100,90,563.1012618541718,4.103469514846802,0.9786424450718055,0.9773623945711831,0.9773799295095478,0.9778270704378474,0.9780725595749531
4,0.9773308316821266,50,90,289.30415205955507,2.2825801372528076,0.9772221150642656,0.9768889512353364,0.9775815813007417,0.977564046362377,0.9773974644479124
5,0.9749039962124533,10,100,62.32994794845581,0.5872478008270263,0.9751091549913202,0.974065826158621,0.9747584562240263,0.975740412772449,0.9748461309158498
6,0.9746655210506935,100,80,500.01526679992674,4.33129391670227,0.9750653176454085,0.9741622683196268,0.9738729418366094,0.9747935261007558,0.975433551351067
7,0.9740833610969858,50,80,252.42899947166444,2.066914367675781,0.9748110610391204,0.9732592189938453,0.9737677322064213,0.9749864104227673,0.9735923828227744
8,0.9724859282119622,10,90,57.89532923698425,0.5814599990844727,0.9723737046064284,0.9722860299146049,0.9721194480001403,0.9724789142366165,0.9731715443020218
9,0.9693121043679531,100,70,425.8099889755249,3.8939132690429688,0.9699188132353714,0.9690771361938663,0.9684020410668257,0.9695067421838012,0.9696557891599011
10,0.968231952164688,10,80,50.94447655677796,0.5578868865966797,0.9679373652001613,0.9680864121762612,0.966280313524698,0.970515001139771,0.9683406687825492
11,0.9681512914482105,50,70,214.27614731788634,1.9063642501831055,0.9688141121183959,0.9669378737133739,0.9689631590944958,0.9682442266215434,0.9677970856932437
12,0.9630644058286135,10,70,44.611936283111575,0.535768461227417,0.9653334268530046,0.9628259306668537,0.9581616370618458,0.9659120798190395,0.963088954742324
13,0.9608409756439705,100,60,345.58136010169983,3.2782926082611086,0.962808395728489,0.9602307597888794,0.9607480404706378,0.961160111522208,0.9592575707096389
14,0.9593382314261166,50,60,176.88252458572387,1.864375638961792,0.9602044573813323,0.9598625260832209,0.9579512178014694,0.9603184344807028,0.9583545213838573
15,0.949764155078995,10,60,33.099884605407716,0.5103964328765869,0.950183240105911,0.9504550316505638,0.953400901295832,0.9491311438040295,0.9456504585386383
16,0.9470427326447947,100,50,249.68671054840087,2.911677598953247,0.9481842571323362,0.9454751091549913,0.9464921355801434,0.9460625295902085,0.9489996317662943
17,0.9451682477336092,50,50,123.74685215950012,1.6015375137329102,0.947544231882025,0.9435550334040576,0.9428097985235582,0.9458433428606499,0.9460888319977555
18,0.9323537147766926,10,50,25.790856218338014,0.4484140396118164,0.9372862929386803,0.929088709253187,0.929369268267022,0.9397850216556489,0.9262392817689246
19,0.9243297269810096,50,40,91.17805271148681,1.2638291835784912,0.926730260043136,0.9217065002016518,0.9228550386645391,0.9267039576355889,0.9236528783601325
20,0.9228497781830297,100,40,174.41782174110412,2.498376417160034,0.9241175542267969,0.9229514808255449,0.9195935401287064,0.9228901085412685,0.9246962071928317
21,0.9063301127496537,10,40,18.76621594429016,0.45314679145812986,0.909186554209262,0.8988234056357292,0.9125795647828298,0.9084763892054919,0.9025846499149556
22,0.8795472478914237,50,30,56.66562132835388,1.2293081760406495,0.8802889757842501,0.8811131178873907,0.8749057497062898,0.8863122271125217,0.8751161689666661
23,0.8777341352645147,100,30,113.1823823928833,2.109106731414795,0.8756772869943362,0.8762997773062827,0.8845850356835996,0.8740290027880552,0.878079573550299
24,0.8386382366865981,10,30,11.303285074234008,0.3773871898651123,0.8631836434094934,0.8137964895053393,0.8394588718020656,0.8337863192410878,0.8429658594750039
25,0.7910273720387873,50,20,31.91061577796936,0.8922050476074219,0.7989882340563573,0.7798751512388434,0.7989619316488102,0.7949376632941135,0.782373879955812
26,0.7869066615230847,100,20,62.16530704498291,1.690962791442871,0.7950428729243016,0.788940714373389,0.773299549352084,0.7875642217117607,0.7896859492538884
27,0.740944081081555,10,20,6.524005603790283,0.35709152221679685,0.7320836767258763,0.7308299286328008,0.7522926931911834,0.734205404268004,0.7553087025899103
28,0.6503498220203755,100,10,27.055150747299194,1.350896453857422,0.6458994546634168,0.6442599379263182,0.6636185098809377,0.646030966701152,0.6519402409300531
29,0.6340563572919041,50,10,15.287631464004516,0.7653193950653077,0.6375528240018237,0.6279173753704256,0.6375265215942766,0.6191762085956268,0.648108856897368
30,0.6078293499798348,10,10,4.282178258895874,0.36981663703918455,0.661900085921198,0.6027985761630048,0.6014396184397411,0.5417857581230602,0.63122271125217
